상품명,거래량,최근거래가,발매일,발매일로부터현재까지일,발매가,색상개수,최고거래가,최고거래성사일,최저거래가,최저거래성사일,관심,스타일,가격변동성,수익률,콜라보,브랜드_Adidas,브랜드_Asics,브랜드_Converse,브랜드_Jordan,브랜드_Mihara Yasuhiro,브랜드_New Balance,브랜드_Nike,브랜드_Puma,브랜드_Salomon,브랜드_Vans
나이키 에어맥스 90 골프 NRG 백 홈,3.63622253,3.460956102,2022-07-11,23.13013629,3.992733105,4,2.87788983,2022-08-11,3.754615531,2024-01-29,7.904097975,1.656452944,707.6118338,16.21436103,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 덩크 로우 에센셜 유니버시티 블루,4.602760605,3.435128174,2022-08-02,22.84762305,3.955054933,3,2.873148261,2022-09-11,3.701176306,2024-05-05,16.73141324,2.590885735,1056.380832,30.72801914,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 에어포스 1 '07 LX 셀레스틴 블루,4.607018517,3.44897192,2022-08-01,22.86060039,3.959586,3,2.879860245,2023-03-03,3.746307941,2022-08-31,20.38927508,3.345745668,918.7132591,53.96939117,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 에어포스 1 하이 OG QS 유니버시티 블루,3.699073045,3.412883596,2022-08-23,22.57200041,3.963730634,3,2.871948253,2024-02-01,3.716375725,2024-04-01,14.2606311,2.736732394,876.6456292,20.12926512,0,0,0,0,0,0,0,1,0,0,0
(GS) 나이키 덩크 로우 미드나잇 네이비,3.234456468,3.421840118,2022-07-22,22.98965577,3.944531295,3,2.865822143,2022-07-23,3.711462713,2023-05-29,9.992709168,2.229786259,663.3651313,16.6138712,0,0,0,0,0,0,0,1,0,0,0
(GS) 나이키 덩크 로우 넥스트 네이쳐 블루 칠 옐로우 스트라이크,4.581938453,3.422297631,2022-08-03,22.83463253,3.944531295,3,2.874854097,2022-08-06,3.706008016,2023-05-31,16.29639526,3.358871992,1078.531281,45.59789896,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 줌X 베이퍼플라이 넥스트% 2 블랙 골드,3.496228442,3.455891036,2021-12-05,25.64615707,3.996345133,3,2.873785965,2022-12-05,3.746307941,2024-03-18,8.475490258,0.672240797,595.0261028,-10.85872306,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 에어맥스 97 OG 메탈릭 실버 앤 클로린 블루,3.338150352,3.445911338,2022-07-29,22.89945361,3.985507349,2,2.87577474,2022-09-03,3.750450212,2023-09-25,11.68460822,1.898699836,646.408044,14.99835918,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 덩크 로우 위트 앤 검 라이트 브라운,2.881614984,3.409719429,2022-08-06,22.79558151,3.959586,3,2.868719645,2022-10-04,3.711462713,2023-08-13,9.5333595,1.787027315,790.9526778,13.61578382,0,0,0,0,0,0,0,1,0,0,0
나이키 덩크 로우 울프 그레이 앤 퓨어 플래티넘,4.698295462,3.462980227,2022-08-25,22.54543569,3.97435153,4,2.876702127,2023-01-13,3.739509938,2023-10-18,18.14771784,3.731240197,840.3569468,27.51127506,0,0,0,0,0,0,0,1,0,0,0
나이키 에어포스 1 '07 LV8 포톤 더스트 앤 세일,3.976935867,3.44968441,2022-08-06,22.79558151,3.959586,2,2.873785965,2023-06-05,3.735357567,2023-11-18,14.588604,2.667595508,745.3550112,29.30665654,0,0,0,0,0,0,0,1,0,0,0
나이키 덩크 로우 SE 포톤 더스트 앤 서밋 화이트,4.409134527,3.43902829,2022-08-06,22.79558151,3.959586,3,2.873785965,2023-01-10,3.730086068,2024-03-01,15.32845637,2.857238046,809.3841341,29.30665654,0,0,0,0,0,0,0,1,0,0,0
나이키 에어포스 1 '07 LV8 EMB 월드 챔피언스 화이트 블랙,4.269414728,3.446113327,2022-07-06,23.19348927,3.959586,4,2.875540515,2023-06-15,3.746307941,2024-03-06,15.34450224,2.799612078,692.4766253,35.53352164,0,0,0,0,0,0,0,1,0,0,0
나이키 덩크 로우 사파리,3.191494435,3.426542104,2022-07-01,23.25653395,3.963849616,2,2.875349111,2022-10-31,3.720836711,2023-09-16,9.43641953,2.590885735,974.5342564,31.31634121,0,0,0,0,0,0,0,1,0,0,0
(GS) 나이키 덩크 로우 화이트 세이프티 오렌지,2.793978196,3.451384226,2022-06-30,23.26910622,3.950066949,4,2.870448512,2024-04-21,3.727940462,2024-01-12,8.323563741,1.787027315,674.0795077,25.87053328,0,0,0,0,0,0,0,1,0,0,0
